request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Balance comfortably covers the full IDR 15656000 on 2025-08-03 while keeping at least IDR 24768300 after all projected essentials.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Balance comfortably covers the full ZAR 6670 on 2026-07-05 while keeping at least ZAR 20500 after all projected essentials.
request_28,456.4,affordable_with_plan,wait,2024-06-15:1302.4,2024-06-15,stop:event_2512|stop:event_2513,"Paying in full today would drop the balance below the required EUR 1100. The first safe full-payment date is 2024-06-15, before the deadline of 2024-08-15."
request_29,47835.05,not_affordable,not_recommended,none,,none,Requested ZAR 51524 cannot be paid within the forecast window without breaking the minimum balance of ZAR 28300; safe amount today is ZAR 47835.05.
request_30,775.2,affordable_now,full_payment,2026-04-06:775.2,2026-04-06,none,Balance comfortably covers the full USD 775.2 on 2026-04-06 while keeping at least USD 900 after all projected essentials.
request_31,6020301.45,affordable_later,wait,2024-09-15:18164000,2024-09-15,none,"Paying in full today would drop the balance below the required IDR 16588900. The first safe full-payment date is 2024-09-15, before the deadline of 2024-11-15."
request_32,0,not_affordable,not_recommended,none,,none,Requested ZAR 40018 cannot be paid within the forecast window without breaking the minimum balance of ZAR 35700; safe amount today is ZAR 0.
request_33,55570,affordable_later,wait,2026-01-15:118000,2026-01-15,none,"Paying in full today would drop the balance below the required INR 102100. The first safe full-payment date is 2026-01-15, before the deadline of 2026-03-15."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Balance comfortably covers the full INR 129400 on 2024-12-04 while keeping at least INR 138500 after all projected essentials.
request_35,57299.45,affordable_later,wait,2025-12-15:212000,2025-12-15,none,"Paying in full today would drop the balance below the required INR 106400. The first safe full-payment date is 2025-12-15, before the deadline of 2026-01-15."
request_36,1109.34,affordable_later,wait,2026-08-15:3954,2026-08-15,none,"Paying in full today would drop the balance below the required USD 2400. The first safe full-payment date is 2026-08-15, before the deadline of 2026-09-15."
request_37,7238476.15,affordable_later,wait,2024-03-15:14649000,2024-03-15,none,"Paying in full today would drop the balance below the required IDR 17056200. The first safe full-payment date is 2024-03-15, before the deadline of 2024-05-15."
request_38,256.29,affordable_later,wait,2025-09-15:971.3,2025-09-15,none,"Paying in full today would drop the balance below the required EUR 400. The first safe full-payment date is 2025-09-15, before the deadline of 2025-10-15."
request_39,93819.75,affordable_later,wait,2026-04-15:208600,2026-04-15,none,"Paying in full today would drop the balance below the required INR 213400. The first safe full-payment date is 2026-04-15, before the deadline of 2026-06-15."
request_40,0,not_affordable,not_recommended,none,,none,Requested EUR 1290.3 cannot be paid within the forecast window without breaking the minimum balance of EUR 1500; safe amount today is EUR 0.
request_41,15748161.29,affordable_later,wait,2025-11-15:38760000,2025-11-15,none,"Paying in full today would drop the balance below the required IDR 25366600. The first safe full-payment date is 2025-11-15, before the deadline of 2026-01-15."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Balance comfortably covers the full INR 52100 on 2026-01-05 while keeping at least INR 113100 after all projected essentials.
request_43,9837762.66,affordable_later,wait,2024-10-15:43339000,2024-10-15,none,"Paying in full today would drop the balance below the required IDR 21398000. The first safe full-payment date is 2024-10-15, before the deadline of 2024-11-15."
request_44,0,not_affordable,not_recommended,none,,none,Requested INR 95800 cannot be paid within the forecast window without breaking the minimum balance of INR 82900; safe amount today is INR 0.
request_45,6456079.31,affordable_later,wait,2026-08-15:21983000,2026-08-15,none,"Paying in full today would drop the balance below the required IDR 11149800. The first safe full-payment date is 2026-08-15, before the deadline of 2026-09-15."
request_46,49450,affordable_now,full_payment,2024-12-03:49450,2024-12-03,none,Balance comfortably covers the full INR 49450 on 2024-12-03 while keeping at least INR 84000 after all projected essentials.
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Balance comfortably covers the full IDR 38114000 on 2025-05-05 while keeping at least IDR 30049000 after all projected essentials.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Balance comfortably covers the full INR 45700 on 2026-07-25 while keeping at least INR 71300 after all projected essentials.
request_49,16742679.48,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-03-15,none,"Installment option payment_option_133 (3 payments of IDR 11902106.67 starting 2024-03-18) keeps the balance above IDR 20275700 and completes by 2024-05-19, adding 2746640.02 in financing cost."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Balance comfortably covers the full INR 43900 on 2025-08-06 while keeping at least INR 99700 after all projected essentials.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Balance comfortably covers the full IDR 2191000 on 2026-01-03 while keeping at least IDR 7811000 after all projected essentials.
request_52,21894.72,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Paying in full today would drop the balance below the required INR 41500. The first safe full-payment date is 2024-06-15, before the deadline of 2024-07-09."
request_53,714.42,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-11-15,none,"Installment option payment_option_145 (3 payments of USD 589.06 starting 2025-11-21) keeps the balance above USD 2100 and completes by 2026-01-16, adding 135.96 in financing cost."
request_54,8019.34,not_affordable,not_recommended,none,,none,Requested ZAR 121528 cannot be paid within the forecast window without breaking the minimum balance of ZAR 37000; safe amount today is ZAR 8019.34.
request_55,140623.49,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-15,none,"Installment option payment_option_151 (3 payments of INR 75781.33 starting 2026-06-11) keeps the balance above INR 124300 and completes by 2026-08-12, adding 17487.98 in financing cost."
request_56,881.56,affordable_now,full_payment,2025-02-03:881.56,2025-02-03,none,Balance comfortably covers the full USD 881.56 on 2025-02-03 while keeping at least USD 2100 after all projected essentials.
request_57,16871.35,affordable_later,wait,2026-05-15:61446,2026-05-15,none,"Paying in full today would drop the balance below the required ZAR 42700. The first safe full-payment date is 2026-05-15, before the deadline of 2026-06-15."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Balance comfortably covers the full IDR 16226000 on 2024-12-07 while keeping at least IDR 14433900 after all projected essentials.
request_59,140600,affordable_now,full_payment,2025-05-04:140600,2025-05-04,none,Balance comfortably covers the full INR 140600 on 2025-05-04 while keeping at least INR 132600 after all projected essentials.
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Balance comfortably covers the full USD 199.89 on 2026-01-06 while keeping at least USD 400 after all projected essentials.
request_61,29062,affordable_now,full_payment,2024-03-03:29062,2024-03-03,none,Balance comfortably covers the full ZAR 29062 on 2024-03-03 while keeping at least ZAR 36700 after all projected essentials.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Balance comfortably covers the full USD 404.23 on 2025-08-05 while keeping at least USD 1300 after all projected essentials.
request_63,67352.73,affordable_with_plan,partial_payment,2026-07-07:67352.73|2026-07-15:276547.27,2026-07-15,none,"Only INR 67352.73 is safe today; the remaining INR 276547.27 can be paid on 2026-07-15, completing before the deadline without touching the INR 153500 minimum."
request_64,0,not_affordable,not_recommended,none,,none,Requested INR 63700 cannot be paid within the forecast window without breaking the minimum balance of INR 36100; safe amount today is INR 0.
request_65,9484.6,not_affordable,not_recommended,none,,none,Requested ZAR 54340 cannot be paid within the forecast window without breaking the minimum balance of ZAR 15500; safe amount today is ZAR 9484.6.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Balance comfortably covers the full INR 22200 on 2026-04-03 while keeping at least INR 80700 after all projected essentials.
request_67,604.04,affordable_later,wait,2024-09-15:2094,2024-09-15,none,"Paying in full today would drop the balance below the required USD 1200. The first safe full-payment date is 2024-09-15, before the deadline of 2024-11-15."
request_68,1796.83,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-15,none,"Installment option payment_option_187 (3 payments of USD 725.09 starting 2025-02-14) keeps the balance above USD 1500 and completes by 2025-04-11, adding 167.34 in financing cost."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Balance comfortably covers the full EUR 529.1 on 2026-01-04 while keeping at least EUR 700 after all projected essentials.
request_70,60672.49,affordable_later,wait,2025-01-15:243900,2025-01-15,none,"Paying in full today would drop the balance below the required INR 115000. The first safe full-payment date is 2025-01-15, before the deadline of 2025-02-15."
request_71,2556860.72,not_affordable,not_recommended,none,,none,Requested IDR 21451000 cannot be paid within the forecast window without breaking the minimum balance of IDR 8884800; safe amount today is IDR 2556860.72.
request_72,0,not_affordable,not_recommended,none,,none,Requested ZAR 11330 cannot be paid within the forecast window without breaking the minimum balance of ZAR 12200; safe amount today is ZAR 0.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Balance comfortably covers the full INR 71400 on 2023-01-20 while keeping at least INR 103200 after all projected essentials.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Balance comfortably covers the full ZAR 5010 on 2025-08-04 while keeping at least ZAR 21900 after all projected essentials.
request_75,28270,affordable_now,full_payment,2026-04-06:28270,2026-04-06,none,Balance comfortably covers the full ZAR 28270 on 2026-04-06 while keeping at least ZAR 39000 after all projected essentials.
request_76,1216.83,not_affordable,not_recommended,none,,none,Requested USD 4455.6 cannot be paid within the forecast window without breaking the minimum balance of USD 1800; safe amount today is USD 1216.83.
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Balance comfortably covers the full INR 60700 on 2025-11-05 while keeping at least INR 82200 after all projected essentials.
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,Balance comfortably covers the full INR 50200 on 2025-10-02 while keeping at least INR 55200 after all projected essentials.
request_79,534.8,affordable_with_plan,partial_payment,2024-09-04:534.8|2024-09-15:1616.8,2024-09-15,none,"Only EUR 534.8 is safe today; the remaining EUR 1616.8 can be paid on 2024-09-15, completing before the deadline without touching the EUR 1000 minimum."
request_80,125410,not_affordable,not_recommended,none,,none,Requested INR 217500 cannot be paid within the forecast window without breaking the minimum balance of INR 121300; safe amount today is INR 125410.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Balance comfortably covers the full USD 2076 on 2026-07-03 while keeping at least USD 1600 after all projected essentials.
request_82,625.55,affordable_later,wait,2024-12-15:1405.2,2024-12-15,none,"Paying in full today would drop the balance below the required USD 1100. The first safe full-payment date is 2024-12-15, before the deadline of 2025-02-15."
request_83,0,not_affordable,not_recommended,none,,none,Requested INR 156200 cannot be paid within the forecast window without breaking the minimum balance of INR 37800; safe amount today is INR 0.
request_84,43689.87,affordable_later,wait,2026-04-15:95400,2026-04-15,none,"Paying in full today would drop the balance below the required INR 91300. The first safe full-payment date is 2026-04-15, before the deadline of 2026-06-15."
request_85,1595373.14,not_affordable,not_recommended,none,,none,Requested IDR 19304000 cannot be paid within the forecast window without breaking the minimum balance of IDR 6396300; safe amount today is IDR 1595373.14.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Balance comfortably covers the full INR 46300 on 2025-08-03 while keeping at least INR 84900 after all projected essentials.
request_87,0,not_affordable,not_recommended,none,,none,Requested INR 487900 cannot be paid within the forecast window without breaking the minimum balance of INR 185900; safe amount today is INR 0.
request_88,11959.79,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,"Installment option payment_option_245 (3 payments of ZAR 9045.23 starting 2024-06-14) keeps the balance above ZAR 25800 and completes by 2024-08-15, adding 2087.38 in financing cost."
request_89,11603691.75,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,"Installment option payment_option_248 (3 payments of IDR 4768746.67 starting 2025-11-18) keeps the balance above IDR 12534700 and completes by 2026-01-13, adding 1100480.02 in financing cost."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Balance comfortably covers the full ZAR 2560 on 2026-07-06 while keeping at least ZAR 7600 after all projected essentials.
request_91,840.76,affordable_later,wait,2024-09-15:1927.2,2024-09-15,none,"Paying in full today would drop the balance below the required EUR 2100. The first safe full-payment date is 2024-09-15, before the deadline of 2024-11-15."
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Balance comfortably covers the full ZAR 34034 on 2025-02-05 while keeping at least ZAR 28100 after all projected essentials.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,Balance comfortably covers the full USD 1729.2 on 2026-04-07 while keeping at least USD 1900 after all projected essentials.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Balance comfortably covers the full EUR 572 on 2024-12-04 while keeping at least EUR 600 after all projected essentials.
request_95,83542.01,not_affordable,not_recommended,none,,none,Requested INR 553000 cannot be paid within the forecast window without breaking the minimum balance of INR 145500; safe amount today is INR 83542.01.
request_96,85190.59,not_affordable,not_recommended,none,,none,Requested INR 90200 cannot be paid within the forecast window without breaking the minimum balance of INR 56500; safe amount today is INR 85190.59.
request_97,3038.06,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,"Installment option payment_option_272 (3 payments of ZAR 8145.28 starting 2024-03-19) keeps the balance above ZAR 29700 and completes by 2024-05-20, adding 1879.68 in financing cost."
request_98,12678.34,affordable_later,wait,2025-08-15:27148,2025-08-15,none,"Paying in full today would drop the balance below the required ZAR 30000. The first safe full-payment date is 2025-08-15, before the deadline of 2025-10-15."
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Balance comfortably covers the full ZAR 18062 on 2026-07-04 while keeping at least ZAR 49100 after all projected essentials.
request_100,31359.03,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Installment option payment_option_281 (3 payments of ZAR 12866.19 starting 2024-06-13) keeps the balance above ZAR 32500 and completes by 2024-08-14, adding 2969.14 in financing cost."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Balance comfortably covers the full INR 143500 on 2025-11-03 while keeping at least INR 187400 after all projected essentials.
request_102,1716,affordable_now,full_payment,2026-04-05:1716,2026-04-05,none,Balance comfortably covers the full EUR 1716 on 2026-04-05 while keeping at least EUR 900 after all projected essentials.
request_103,22448.03,not_affordable,not_recommended,none,,none,Requested INR 368300 cannot be paid within the forecast window without breaking the minimum balance of INR 125500; safe amount today is INR 22448.03.
